Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7,99,1,9,1,91
4,82,0,4,2,65
8,51,1,7,2,45
5,52,1,5,2,36
7,75,0,8,5,66
3,78,0,9,6,61
7,73,1,5,6,63
8,45,1,4,6,42
5,77,0,8,2,61
4,89,0,4,0,69
8,91,0,4,5,84
8,79,0,6,2,73
3,47,0,9,2,27
6,47,0,4,2,33
5,79,0,7,8,68
2,72,0,4,3,43
8,73,1,8,4,67
6,83,1,7,2,70
2,54,1,4,9,30
5,75,0,7,0,63
1,99,1,4,3,71
6,96,0,9,0,85
9,74,1,7,6,73
1,85,0,5,6,57
3,61,0,6,3,35
7,62,1,7,4,49
4,79,0,8,9,66
9,84,1,6,6,83
3,94,1,6,5,74
5,90,1,4,3,74
3,61,1,7,3,39
7,44,1,9,1,36
5,70,1,6,9,58
9,52,1,8,1,47
7,67,1,9,3,60
2,97,1,9,4,74
4,59,0,8,3,42
9,72,0,8,2,68
2,55,1,4,1,32
9,68,0,5,3,64
5,62,0,7,4,45
2,63,1,6,0,39
4,73,1,7,0,58
7,46,0,9,5,36
8,77,1,6,4,71
3,76,1,4,3,54
1,43,1,7,0,17
4,73,0,4,6,54
2,81,1,4,3,58
8,61,0,7,2,53
4,44,1,7,6,27
2,89,1,6,1,65
6,81,0,9,9,75
6,62,1,9,0,52
4,93,0,8,3,78
6,99,0,4,7,91
2,54,1,9,5,33
2,70,1,5,8,47
4,98,0,6,0,78
8,48,0,6,0,38
7,82,1,8,4,70
9,97,1,8,5,98
8,92,1,4,7,87
5,64,1,6,2,49
2,64,1,6,5,41
5,88,0,5,2,71
8,60,0,4,7,54
9,48,0,4,3,42
9,94,0,9,1,91
1,87,1,8,8,61
9,77,0,9,9,74
7,61,1,4,7,54
9,82,1,5,5,81
8,62,1,4,2,52
1,88,1,9,1,65
8,43,1,7,3,36
8,68,0,7,3,61
3,54,1,5,0,35
1,40,1,8,8,15
8,93,1,6,9,88
3,69,0,4,7,45
3,68,1,9,6,49
1,59,1,8,5,33
5,72,1,9,2,60
7,80,0,8,3,71
9,83,1,4,1,81
7,75,0,6,6,67
9,99,0,4,1,95
8,61,1,6,9,58
2,52,0,9,0,29
1,46,0,5,5,21
7,47,1,6,3,38
7,67,1,8,7,60
8,84,1,5,0,76
5,82,1,9,8,69
3,48,0,7,5,30
8,64,0,5,1,57
6,95,1,6,7,81
3,55,1,5,4,36
1,49,1,9,4,25
